Test,Status
add_1,pass
add_2,pass
add_3,pass
add_4,pass
add_5,runtime error
add_6,pass
add_7,pass
add_8,pass
and_1,pass
and_2,pass
and_3,pass
and_4,pass
and_5,pass
and_6,pass
and_7,pass
and_8,pass
clz_1,compilation failed
clz_2,compilation failed
clz_3,compilation failed
clz_4,compilation failed
clz_5,compilation failed
clz_6,compilation failed
clz_7,compilation failed
clz_8,compilation failed
ctz_1,compilation failed
ctz_2,compilation failed
ctz_3,compilation failed
ctz_4,compilation failed
ctz_5,compilation failed
ctz_6,compilation failed
div_s_1,pass
div_s_10,runtime error
div_s_11,pass
div_s_12,runtime error
div_s_13,runtime error
div_s_14,runtime error
div_s_15,pass
div_s_16,pass
div_s_2,pass
div_s_3,pass
div_s_4,pass
div_s_5,runtime error
div_s_6,runtime error
div_s_7,pass
div_s_8,runtime error
div_s_9,runtime error
div_u_1,compilation failed
div_u_10,compilation failed
div_u_11,compilation failed
div_u_12,compilation failed
div_u_13,compilation failed
div_u_14,compilation failed
div_u_2,compilation failed
div_u_3,compilation failed
div_u_4,compilation failed
div_u_5,compilation failed
div_u_6,compilation failed
div_u_7,compilation failed
div_u_8,compilation failed
div_u_9,compilation failed
eq_1,pass
eq_10,pass
eq_11,pass
eq_12,pass
eq_13,pass
eq_14,pass
eq_2,pass
eq_3,pass
eq_4,pass
eq_5,pass
eq_6,pass
eq_7,pass
eq_8,pass
eq_9,pass
eqz_1,pass
eqz_2,pass
eqz_3,pass
eqz_4,pass
eqz_5,pass
extend16_s_1,pass
extend16_s_2,pass
extend16_s_3,runtime error
extend16_s_4,runtime error
extend16_s_5,runtime error
extend16_s_6,runtime error
extend16_s_7,pass
extend32_s_1,pass
extend32_s_10,pass
extend32_s_2,pass
extend32_s_3,pass
extend32_s_4,pass
extend32_s_5,pass
extend32_s_6,runtime error
extend32_s_7,runtime error
extend32_s_8,runtime error
extend32_s_9,runtime error
extend8_s_1,pass
extend8_s_2,pass
extend8_s_3,runtime error
extend8_s_4,runtime error
extend8_s_5,runtime error
extend8_s_6,runtime error
extend8_s_7,pass
ge_s_1,compilation failed
ge_s_10,compilation failed
ge_s_11,compilation failed
ge_s_12,compilation failed
ge_s_13,compilation failed
ge_s_14,compilation failed
ge_s_2,compilation failed
ge_s_3,compilation failed
ge_s_4,compilation failed
ge_s_5,compilation failed
ge_s_6,compilation failed
ge_s_7,compilation failed
ge_s_8,compilation failed
ge_s_9,compilation failed
ge_u_1,compilation failed
ge_u_10,compilation failed
ge_u_11,compilation failed
ge_u_12,compilation failed
